"","bay_segment","yr","mean_chla"
"1","HB",1974,22.4045454545455
"2","HB",1975,27.9318181818182
"3","HB",1976,29.4511111111111
"4","HB",1977,32.5422222222222
"5","HB",1978,22.0242207792208
"6","HB",1979,29.7295454545455
"7","HB",1980,22.637
"8","HB",1981,31.0741626794258
"9","HB",1982,36.0941111111111
"10","HB",1983,25.8618181818182
"11","HB",1984,13.050956937799
"12","HB",1985,19.2696296296296
"13","HB",1986,16.7836363636364
"14","HB",1987,14.2333333333333
"15","HB",1988,13.04
"16","HB",1989,14.18
"17","HB",1990,12.7836833333333
"18","HB",1991,14.100825
"19","HB",1992,11.0866
"20","HB",1993,9.840525
"21","HB",1994,18.6543416666667
"22","HB",1995,18.7048583333333
"23","HB",1996,9.632375
"24","HB",1997,11.9923666666667
"25","HB",1998,20.7411333333333
"26","HB",1999,10.2890666666667
"27","HB",2000,8.82525
"28","HB",2001,10.0989333333333
"29","HB",2002,13.6923740740741
"30","HB",2003,12.4008243055556
"31","HB",2004,11.9485583333333
"32","HB",2005,13.1137
"33","HB",2006,10.9483333333333
"34","HB",2007,8.33833333333333
"35","HB",2008,11.5816666666667
"36","HB",2009,14.6283333333333
"37","HB",2010,9.80722222222222
"38","HB",2011,11.1958333333333
"39","HB",2012,12.62
"40","HB",2013,12.9358333333333
"41","HB",2014,13.1441666666667
"42","HB",2015,8.95833333333333
"43","HB",2016,11.4466666666667
"44","HB",2017,9.715
"45","HB",2018,13.8833333333333
"46","HB",2019,7.36
"47","LTB",1974,4.23863636363636
"48","LTB",1975,4.93495670995671
"49","LTB",1976,5.08214285714286
"50","LTB",1977,5.29791666666667
"51","LTB",1978,4.79326298701299
"52","LTB",1979,7.33295454545455
"53","LTB",1980,6.10520833333333
"54","LTB",1981,6.20227272727273
"55","LTB",1982,6.0825
"56","LTB",1983,7.26607142857143
"57","LTB",1984,3.88522727272727
"58","LTB",1985,4.765625
"59","LTB",1986,3.92418831168831
"60","LTB",1987,3.5608630952381
"61","LTB",1988,3.45
"62","LTB",1989,5.09895833333333
"63","LTB",1990,4.06052083333333
"64","LTB",1991,3.55095833333333
"65","LTB",1992,4.01647916666667
"66","LTB",1993,3.59078125
"67","LTB",1994,5.46026785714286
"68","LTB",1995,4.421375
"69","LTB",1996,2.20111111111111
"70","LTB",1997,4.62366666666667
"71","LTB",1998,5.88102083333333
"72","LTB",1999,4.22901041666667
"73","LTB",2000,4.49007291666667
"74","LTB",2001,4.7625818452381
"75","LTB",2002,3.81779166666667
"76","LTB",2003,3.4144375
"77","LTB",2004,5.06970833333333
"78","LTB",2005,6.23854166666667
"79","LTB",2006,3.66979166666667
"80","LTB",2007,3.128125
"81","LTB",2008,2.84583333333333
"82","LTB",2009,4.41666666666667
"83","LTB",2010,3.8625
"84","LTB",2011,4.26502976190476
"85","LTB",2012,4.40729166666667
"86","LTB",2013,3.91145833333333
"87","LTB",2014,3.41979166666667
"88","LTB",2015,3.9422619047619
"89","LTB",2016,3.009375
"90","LTB",2017,3.278125
"91","LTB",2018,4.653125
"92","LTB",2019,2.65
"93","MTB",1974,9.65873729643123
"94","MTB",1975,11.4146375009812
"95","MTB",1976,9.95298498610553
"96","MTB",1977,13.075198126517
"97","MTB",1978,11.2754159033559
"98","MTB",1979,17.6753787600696
"99","MTB",1980,14.6677241377619
"100","MTB",1981,13.6247838604073
"101","MTB",1982,18.7791657573312
"102","MTB",1983,19.3302478552266
"103","MTB",1984,8.79910021390016
"104","MTB",1985,12.997592302884
"105","MTB",1986,8.21500941897574
"106","MTB",1987,8.55619986294075
"107","MTB",1988,7.6510904521801
"108","MTB",1989,8.3772530725783
"109","MTB",1990,8.35245395959157
"110","MTB",1991,7.88084414074585
"111","MTB",1992,6.47300269128366
"112","MTB",1993,6.56815420989689
"113","MTB",1994,11.0269906620689
"114","MTB",1995,10.281305628111
"115","MTB",1996,5.34584901691635
"116","MTB",1997,7.95580225218037
"117","MTB",1998,12.237579542608
"118","MTB",1999,7.22543412911967
"119","MTB",2000,6.06683524687692
"120","MTB",2001,7.72715139063965
"121","MTB",2002,6.14188922607793
"122","MTB",2003,7.76359878258428
"123","MTB",2004,6.61248574109538
"124","MTB",2005,7.64713416251872
"125","MTB",2006,5.13860444140082
"126","MTB",2007,5.54046748238469
"127","MTB",2008,5.74513255922945
"128","MTB",2009,6.47344866107502
"129","MTB",2010,6.0596043323152
"130","MTB",2011,8.03725076965965
"131","MTB",2012,7.83323697436892
"132","MTB",2013,6.8358761393387
"133","MTB",2014,6.80888593280326
"134","MTB",2015,8.05235882502667
"135","MTB",2016,5.6715576416497
"136","MTB",2017,5.78571747699775
"137","MTB",2018,7.04749289933417
"138","MTB",2019,3.4128733152332
"139","OTB",1974,10.2410622710623
"140","OTB",1975,13.2075396825397
"141","OTB",1976,10.8822222222222
"142","OTB",1977,11.4036666666667
"143","OTB",1978,9.51515151515152
"144","OTB",1979,17.9981818181818
"145","OTB",1980,13.8709090909091
"146","OTB",1981,12.0290909090909
"147","OTB",1982,12.9896296296296
"148","OTB",1983,17.540303030303
"149","OTB",1984,9.16066666666667
"150","OTB",1985,11.1643333333333
"151","OTB",1986,10.586619047619
"152","OTB",1987,9.30424242424242
"153","OTB",1988,8.15944444444444
"154","OTB",1989,9.34694444444444
